name,type,country_name
jupiler-pro-league,domestic_league,Belgium
supercoppa-italiana,other,Italy
sfa-cup,domestic_cup,Scotland
ukrainian-super-cup,other,Ukraine
fa-cup,domestic_cup,England
fifa-klub-wm,other,
belgian-supercup,other,Belgium
efl-cup,other,England
superligaen,domestic_league,Denmark
uefa-europa-conference-league-qualifikation,international_cup,
europa-league-qualifikation,international_cup,
johan-cruijff-schaal,other,Netherlands
copa-del-rey,domestic_cup,Spain
uefa-super-cup,other,
uefa-champions-league,international_cup,
dfb-pokal,domestic_cup,Germany
ligue-1,domestic_league,France
community-shield,other,England
super-league-1,domestic_league,Greece
scottish-premiership,domestic_league,Scotland
dfl-supercup,other,Germany
europa-league,international_cup,
super-lig,domestic_league,Turkey
laliga,domestic_league,Spain
premier-liga,domestic_league,Russia
russian-super-cup,other,Russia
supercopa,other,Spain
ukrainian-cup,domestic_cup,Ukraine
premier-league,domestic_league,England
toto-knvb-beker,domestic_cup,Netherlands
liga-portugal-bwin,domestic_league,Portugal
allianz-cup,domestic_cup,Portugal
russian-cup,domestic_cup,Russia
bundesliga,domestic_league,Germany
sydbank-pokalen,domestic_cup,Denmark
premier-liga,domestic_league,Ukraine
uefa-champions-league-qualifikation,international_cup,
serie-a,domestic_league,Italy
supertaca-candido-de-oliveira,other,Portugal
italy-cup,domestic_cup,Italy
trophee-des-champions,other,France
kypello-elladas,domestic_cup,Greece
eredivisie,domestic_league,Netherlands
