key_date,day,month,year,key_season
1,2010-08-28,2010-08,2010,1
2,2010-08-29,2010-08,2010,1
3,2010-08-30,2010-08,2010,1
4,2010-09-11,2010-09,2010,1
5,2010-09-12,2010-09,2010,1
6,2010-09-13,2010-09,2010,1
7,2010-09-18,2010-09,2010,1
8,2010-09-19,2010-09,2010,1
9,2010-09-20,2010-09,2010,1
10,2010-09-21,2010-09,2010,1
11,2010-09-22,2010-09,2010,1
12,2010-09-23,2010-09,2010,1
13,2010-09-25,2010-09,2010,1
14,2010-09-26,2010-09,2010,1
15,2010-09-27,2010-09,2010,1
16,2010-10-02,2010-10,2010,1
17,2010-10-03,2010-10,2010,1
18,2010-10-16,2010-10,2010,1
19,2010-10-17,2010-10,2010,1
20,2010-10-18,2010-10,2010,1
21,2010-10-23,2010-10,2010,1
22,2010-10-24,2010-10,2010,1
23,2010-10-25,2010-10,2010,1
24,2010-10-30,2010-10,2010,1
25,2010-10-31,2010-10,2010,1
26,2010-11-01,2010-11,2010,1
27,2010-11-06,2010-11,2010,1
28,2010-11-07,2010-11,2010,1
29,2011-01-16,2011-01,2011,1
30,2010-11-08,2010-11,2010,1
31,2010-11-13,2010-11,2010,1
32,2010-11-14,2010-11,2010,1
33,2010-11-20,2010-11,2010,1
34,2010-11-21,2010-11,2010,1
35,2010-11-22,2010-11,2010,1
36,2010-11-27,2010-11,2010,1
37,2010-11-28,2010-11,2010,1
38,2010-11-29,2010-11,2010,1
39,2010-12-04,2010-12,2010,1
40,2010-12-05,2010-12,2010,1
41,2010-12-06,2010-12,2010,1
42,2010-12-11,2010-12,2010,1
43,2010-12-12,2010-12,2010,1
44,2010-12-13,2010-12,2010,1
45,2010-12-18,2010-12,2010,1
46,2010-12-19,2010-12,2010,1
47,2010-12-20,2010-12,2010,1
48,2011-01-02,2011-01,2011,1
49,2011-01-03,2011-01,2011,1
50,2011-01-08,2011-01,2011,1
51,2011-01-09,2011-01,2011,1
52,2011-01-10,2011-01,2011,1
53,2011-01-15,2011-01,2011,1
54,2011-01-17,2011-01,2011,1
55,2011-01-22,2011-01,2011,1
56,2011-01-23,2011-01,2011,1
57,2011-01-24,2011-01,2011,1
58,2011-01-29,2011-01,2011,1
59,2011-01-30,2011-01,2011,1
60,2011-01-31,2011-01,2011,1
61,2011-02-05,2011-02,2011,1
62,2011-02-06,2011-02,2011,1
63,2011-02-12,2011-02,2011,1
64,2011-02-13,2011-02,2011,1
65,2011-02-14,2011-02,2011,1
66,2011-02-19,2011-02,2011,1
67,2011-02-20,2011-02,2011,1
68,2011-02-21,2011-02,2011,1
69,2011-02-26,2011-02,2011,1
70,2011-02-27,2011-02,2011,1
71,2011-02-28,2011-02,2011,1
72,2011-03-01,2011-03,2011,1
73,2011-03-02,2011-03,2011,1
74,2011-03-03,2011-03,2011,1
75,2011-03-05,2011-03,2011,1
76,2011-03-06,2011-03,2011,1
