key_manager,key_team,key_date,manager_name
1,1,1,Esteban Vigo
2,2,1,Jesualdo Ferreira
3,3,1,Luis Garcia
4,4,2,Mauricio Pochettino Trossero
5,5,2,Martin Lasarte
6,6,2,Miguel Angel Lotina
7,7,2,Jose Antonio Camacho
8,8,2,Miguel Angel Portugal
9,9,2,Michael Laudrup
10,10,3,Enrique Sánchez Flores
11,11,4,Pep Guardiola
12,12,4,Unai Emery
13,13,4,Jose Mourinho
14,14,4,Joaquin Caparros
15,15,5,Michel
16,16,5,Manuel Preciado
17,17,5,Jose Aurelio Gay
18,18,5,Juan Carlos Garrido
19,19,5,Antonio Álvarez
20,20,6,Juanma Lillo
21,4,7,Mauricio Pochettino Trossero
22,9,7,Michael Laudrup
23,16,7,Manuel Preciado
24,5,7,Martin Lasarte
25,1,8,Esteban Vigo
26,8,8,Miguel Angel Portugal
27,3,8,Luis Garcia
28,10,8,Enrique Sánchez Flores
29,2,8,Jesualdo Ferreira
30,6,9,Miguel Angel Lotina
31,7,10,Jose Antonio Camacho
32,14,10,Joaquin Caparros
33,13,10,Jose Mourinho
34,11,11,Pep Guardiola
35,17,11,Jose Aurelio Gay
36,20,11,Juanma Lillo
37,12,11,Unai Emery
38,15,12,Michel
39,18,12,Juan Carlos Garrido
40,19,12,Antonio Álvarez
41,16,13,Manuel Preciado
42,3,13,Luis Garcia
43,14,13,Joaquin Caparros
44,8,14,Miguel Angel Portugal
45,6,14,Miguel Angel Lotina
46,4,14,Mauricio Pochettino Trossero
47,9,14,Michael Laudrup
48,21,8,Rudi Garcia
49,1,14,Esteban Vigo
50,10,14,Enrique Sánchez Flores
51,2,15,Jesualdo Ferreira
52,17,16,Jose Aurelio Gay
53,5,16,Martin Lasarte
54,12,16,Unai Emery
55,19,17,Gregorio Manzano
56,15,17,Michel
57,18,17,Juan Carlos Garrido
58,20,17,Juanma Lillo
59,7,17,Jose Antonio Camacho
60,11,17,Pep Guardiola
61,13,17,Jose Mourinho
62,10,18,Enrique Sánchez Flores
63,11,18,Pep Guardiola
64,2,18,Jesualdo Ferreira
65,8,19,Miguel Angel Portugal
66,6,19,Miguel Angel Lotina
67,3,19,Luis Garcia
68,9,19,Michael Laudrup
69,14,19,Joaquin Caparros
70,16,19,Manuel Preciado
71,1,20,Esteban Vigo
72,17,21,Jose Aurelio Gay
73,13,21,Jose Mourinho
74,12,21,Unai Emery
75,15,22,Michel
76,20,22,Juanma Lillo
77,7,22,Jose Antonio Camacho
78,4,22,Mauricio Pochettino Trossero
79,19,22,Gregorio Manzano
80,18,22,Juan Carlos Garrido
81,5,23,Martin Lasarte
82,12,24,Unai Emery
83,1,24,Esteban Vigo
84,11,24,Pep Guardiola
85,16,25,Manuel Preciado
86,8,25,Miguel Angel Portugal
87,2,25,Jesualdo Ferreira
88,6,25,Miguel Angel Lotina
89,10,25,Enrique Sánchez Flores
90,14,25,Joaquin Caparros
91,9,26,Michael Laudrup
92,5,27,Martin Lasarte
93,4,27,Mauricio Pochettino Trossero
94,17,28,Jose Aurelio Gay
95,20,29,Jose Luis Oltra
96,18,28,Juan Carlos Garrido
97,20,28,Juanma Lillo
98,7,28,Jose Antonio Camacho
99,3,28,Luis Garcia
100,15,28,Michel
101,13,28,Jose Mourinho
102,19,30,Gregorio Manzano
103,14,31,Joaquin Caparros
104,10,31,Enrique Sánchez Flores
105,11,31,Pep Guardiola
106,1,32,Esteban Vigo
107,8,32,Miguel Angel Portugal
108,2,32,Manuel Pellegrini
109,9,32,Michael Laudrup
110,17,32,Jose Aurelio Gay
111,16,32,Manuel Preciado
112,12,32,Unai Emery
113,18,33,Juan Carlos Garrido
114,20,33,Juanma Lillo
115,13,33,Jose Mourinho
116,7,34,Jose Antonio Camacho
117,4,34,Mauricio Pochettino Trossero
118,3,34,Luis Garcia
119,11,29,Pep Guardiola
120,6,34,Miguel Angel Lotina
121,19,34,Gregorio Manzano
122,5,34,Martin Lasarte
123,15,35,Michel
124,17,36,Javier Aguirre
125,19,36,Gregorio Manzano
126,10,36,Enrique Sánchez Flores
127,16,37,Manuel Preciado
128,1,37,Esteban Vigo
129,8,37,Miguel Angel Portugal
130,9,37,Michael Laudrup
131,14,37,Joaquin Caparros
132,12,37,Unai Emery
133,11,38,Pep Guardiola
134,3,39,Luis Garcia
135,7,39,Jose Antonio Camacho
136,13,39,Jose Mourinho
137,15,40,Michel
138,20,40,Jose Luis Oltra
139,4,40,Mauricio Pochettino Trossero
140,2,40,Manuel Pellegrini
141,18,40,Juan Carlos Garrido
142,5,40,Martin Lasarte
143,22,24,Claudio Ranieri
144,6,41,Miguel Angel Lotina
145,15,42,Michel
146,19,42,Gregorio Manzano
147,10,42,Enrique Sánchez Flores
148,14,43,Joaquin Caparros
149,16,43,Manuel Preciado
150,1,43,Esteban Vigo
151,9,43,Michael Laudrup
152,17,43,Javier Aguirre
153,11,43,Pep Guardiola
154,12,44,Unai Emery
155,18,45,Juan Carlos Garrido
156,3,45,Luis Garcia
157,6,45,Miguel Angel Lotina
158,4,45,Mauricio Pochettino Trossero
159,5,45,Martin Lasarte
160,20,46,Jose Luis Oltra
161,7,46,Jose Antonio Camacho
162,2,46,Manuel Pellegrini
163,13,46,Jose Mourinho
164,8,47,Miguel Angel Portugal
165,14,48,Joaquin Caparros
166,11,48,Pep Guardiola
167,16,48,Manuel Preciado
168,19,48,Gregorio Manzano
169,12,48,Unai Emery
170,18,49,Juan Carlos Garrido
171,17,49,Javier Aguirre
172,10,49,Enrique Sánchez Flores
173,9,49,Michael Laudrup
174,15,49,Michel
175,2,50,Manuel Pellegrini
176,5,50,Martin Lasarte
177,6,50,Miguel Angel Lotina
178,9,51,Michael Laudrup
179,7,51,Jose Antonio Camacho
180,4,51,Mauricio Pochettino Trossero
181,8,51,Miguel Angel Portugal
182,13,51,Jose Mourinho
183,3,51,Luis Garcia
184,1,52,Esteban Vigo
185,16,53,Manuel Preciado
186,18,53,Juan Carlos Garrido
187,15,53,Michel
188,17,53,Javier Aguirre
189,14,53,Joaquin Caparros
190,19,53,Gregorio Manzano
191,12,29,Unai Emery
192,10,54,Enrique Sánchez Flores
193,19,55,Gregorio Manzano
194,11,55,Pep Guardiola
195,12,55,Unai Emery
196,15,56,Michel
197,16,56,Manuel Preciado
198,17,56,Javier Aguirre
199,20,56,Jose Luis Oltra
200,13,56,Jose Mourinho
201,18,56,Juan Carlos Garrido
202,14,57,Joaquin Caparros
203,3,58,Luis Garcia
204,5,58,Martin Lasarte
205,9,58,Michael Laudrup
206,2,58,Manuel Pellegrini
207,1,58,Esteban Vigo
208,6,58,Miguel Angel Lotina
209,10,59,Enrique Sánchez Flores
210,7,59,Jose Antonio Camacho
211,4,59,Mauricio Pochettino Trossero
212,8,60,Miguel Angel Portugal
213,14,61,Joaquin Caparros
214,17,61,Javier Aguirre
215,15,61,Michel
216,20,61,Jose Luis Oltra
217,7,61,Jose Antonio Camacho
218,18,61,Juan Carlos Garrido
219,11,61,Pep Guardiola
220,19,62,Gregorio Manzano
221,13,62,Jose Mourinho
222,12,62,Unai Emery
223,10,63,Enrique Sánchez Flores
224,16,63,Manuel Preciado
225,8,63,Marcelino Garcia Toral
226,5,64,Martin Lasarte
227,1,64,Esteban Vigo
228,2,64,Manuel Pellegrini
229,3,64,Luis Garcia
230,6,64,Miguel Angel Lotina
231,4,64,Mauricio Pochettino Trossero
232,9,65,Michael Laudrup
233,12,66,Unai Emery
234,13,66,Jose Mourinho
235,17,66,Javier Aguirre
236,15,67,Michel
237,18,67,Juan Carlos Garrido
238,20,67,Jose Luis Oltra
239,7,67,Jose Mendilíbar Etxebarria
240,19,67,Gregorio Manzano
241,11,67,Pep Guardiola
242,5,68,Martin Lasarte
243,16,69,Manuel Preciado
244,4,69,Mauricio Pochettino Trossero
245,10,69,Enrique Sánchez Flores
246,9,69,Michael Laudrup
247,6,69,Miguel Angel Lotina
248,1,70,Esteban Vigo
249,3,70,Luis Garcia
250,8,70,Marcelino Garcia Toral
251,14,70,Joaquin Caparros
252,2,71,Manuel Pellegrini
253,4,72,Mauricio Pochettino Trossero
254,19,72,Gregorio Manzano
255,17,73,Javier Aguirre
256,15,73,Michel
257,18,73,Juan Carlos Garrido
258,7,73,Jose Mendilíbar Etxebarria
259,5,73,Martin Lasarte
260,12,73,Unai Emery
261,20,74,Jose Luis Oltra
262,13,74,Jose Mourinho
263,9,75,Michael Laudrup
264,11,75,Pep Guardiola
265,10,75,Enrique Sánchez Flores
266,16,76,Manuel Preciado
267,1,76,Esteban Vigo
268,2,76,Manuel Pellegrini
269,3,76,Luis Garcia
270,14,76,Joaquin Caparros
271,8,76,Marcelino Garcia Toral
272,6,77,Miguel Angel Lotina
273,20,78,Jose Luis Oltra
274,13,78,Jose Mourinho
275,17,78,Javier Aguirre
276,7,79,Jose Mendilíbar Etxebarria
277,5,79,Martin Lasarte
