key_position,key_team,key_season,position
1,1,1,19
2,2,1,11
3,3,1,14
4,4,1,8
5,5,1,15
6,6,1,18
7,7,1,9
8,8,1,12
9,9,1,17
10,10,1,7
11,11,1,1
12,12,1,3
13,13,1,2
14,14,1,6
15,15,1,16
16,16,1,10
17,17,1,13
18,18,1,4
19,19,1,5
20,20,1,20
21,21,1,1
22,22,1,6
23,23,1,2
24,24,1,7
25,25,1,3
26,26,1,5
27,27,1,9
28,28,1,15
29,29,1,16
30,30,1,14
31,31,1,10
32,32,1,17
33,33,1,2
34,34,1,6
35,35,1,1
36,36,1,4
37,37,1,18
38,38,1,7
39,39,1,13
40,40,1,11
41,41,1,20
42,42,1,12
43,43,1,8
44,44,1,19
45,45,1,3
46,46,1,11
47,47,1,16
48,48,1,10
49,49,1,9
50,50,1,4
51,51,1,8
52,52,1,5
53,53,1,1
54,54,1,7
55,55,1,14
56,56,1,13
57,57,1,15
58,58,1,17
59,59,1,6
60,60,1,18
61,61,1,2
62,62,1,12
63,63,1,9
64,64,1,19
65,65,1,3
66,66,1,2
67,67,1,17
68,68,1,4
69,69,1,6
70,70,1,5
71,71,1,8
72,72,1,14
73,73,1,16
74,74,1,11
75,75,1,13
76,76,1,10
77,77,1,12
78,78,1,20
79,79,1,7
80,80,1,15
81,81,1,18
82,82,1,4
83,83,1,20
84,84,1,11
85,85,1,1
86,86,1,12
87,87,1,18
88,88,1,8
89,89,1,9
90,90,1,16
91,91,1,14
92,92,1,15
93,93,1,19
94,94,1,13
95,95,1,10
96,96,1,17
97,97,1,5
98,98,1,3
99,59,2,10
100,8,2,20
101,4,2,14
102,5,2,12
103,99,2,13
104,7,2,7
105,100,2,15
106,2,2,4
107,3,2,6
108,13,2,1
109,18,2,18
110,16,2,19
111,12,2,3
112,101,2,17
113,10,2,5
114,14,2,10
115,9,2,8
116,15,2,11
117,17,2,16
118,19,2,9
119,11,2,2
120,21,2,3
121,28,2,19
122,43,2,9
123,34,2,8
124,102,2,17
125,29,2,15
126,42,2,5
127,39,2,14
128,40,2,10
129,25,2,1
130,26,2,4
131,31,2,13
132,36,2,3
133,27,2,16
134,38,2,7
135,103,2,11
136,33,2,6
137,104,2,12
138,32,2,20
139,30,2,18
140,35,2,2
141,53,2,1
142,56,2,9
143,50,2,7
144,62,2,6
145,48,2,17
146,105,2,14
147,106,2,16
148,52,2,13
149,45,2,2
150,55,2,3
151,51,2,15
152,49,2,12
153,46,2,11
154,57,2,8
155,47,2,4
156,54,2,18
157,61,2,5
158,107,2,16
159,73,2,15
160,80,2,18
161,66,2,10
162,72,2,1
163,75,2,11
164,67,2,13
165,68,2,2
166,108,2,19
167,79,2,5
168,74,2,17
169,65,2,4
170,69,2,6
171,76,2,7
172,70,2,14
173,71,2,8
174,77,2,12
175,63,2,20
176,109,2,9
177,97,2,4
178,81,3,3
179,80,3,13
180,110,2,14
181,91,2,15
182,82,2,3
183,111,2,12
184,90,2,9
185,23,2,6
186,98,2,5
187,112,2,19
188,86,2,8
189,85,2,2
190,92,2,20
191,24,2,1
192,94,2,11
193,84,2,10
194,89,2,13
195,95,2,17
196,96,2,18
197,22,2,7
198,88,2,16
199,113,4,17
200,19,4,9
201,9,4,18
202,13,4,2
203,14,4,12
204,11,4,1
205,3,4,11
206,6,4,19
207,100,4,8
208,17,4,20
209,5,4,4
210,4,4,13
211,99,4,7
212,2,4,6
213,7,4,16
214,15,4,10
215,101,4,15
216,12,4,5
217,114,4,14
218,10,4,3
219,67,3,11
220,36,4,4
221,43,4,12
222,102,4,20
223,115,4,19
224,40,4,8
225,41,4,10
226,42,4,16
227,29,4,18
228,25,4,2
229,38,4,6
230,103,4,9
231,27,4,15
232,35,4,1
233,104,4,11
234,116,4,14
235,26,4,5
236,33,4,3
237,39,4,13
238,34,4,7
239,31,4,17
240,53,4,2
241,47,4,8
242,49,4,5
243,105,4,15
244,51,4,7
245,117,4,18
246,58,4,6
247,62,4,12
248,50,4,9
249,52,4,13
250,55,4,4
251,61,4,3
252,56,4,14
253,59,4,10
254,46,4,16
255,118,4,17
256,57,4,11
257,45,4,1
258,72,4,9
259,75,4,18
260,76,4,5
261,119,4,19
262,109,4,16
263,70,4,15
264,67,4,4
265,68,4,1
266,69,4,13
267,120,4,14
268,21,4,6
269,65,4,3
270,74,4,8
271,121,4,12
272,73,4,20
273,71,4,10
274,77,4,11
275,79,4,7
276,66,4,2
277,107,4,17
278,22,5,2
279,89,4,4
280,24,4,1
281,85,4,3
282,111,4,15
283,84,4,12
284,95,4,17
285,88,4,18
286,122,4,20
287,22,4,6
288,110,4,19
289,123,4,16
290,90,4,13
291,82,4,5
292,91,4,11
293,94,4,8
294,23,4,9
295,97,4,7
296,98,4,2
297,86,4,10
298,87,4,14
299,5,5,7
300,114,5,19
301,12,5,8
