key_team,team_name,ucl_won,uel_won,cwc_won,usc_won
1,Hércules,0,0,0,0
2,Málaga,0,0,0,0
3,Levante,0,0,0,0
4,Espanyol,0,0,0,0
5,Real Sociedad,0,0,0,0
6,La Coruña,0,0,0,0
7,Osasuna,0,0,0,0
8,Racing Sant,0,0,0,0
9,Mallorca,0,0,0,0
10,Atlético Madrid,0,3,1,3
11,Barcelona,5,0,4,5
12,Valencia,0,1,1,2
13,Real Madrid,13,2,0,4
14,Athletic Club,0,0,0,0
15,Getafe,0,0,0,0
16,Sporting Gijón,0,0,0,0
17,Zaragoza,0,0,1,0
18,Villarreal,0,0,0,0
19,Sevilla,0,5,0,1
20,Almería,0,0,0,0
21,Lille,0,0,0,0
22,Roma,0,0,0,0
23,Inter,3,3,0,0
24,Juventus,2,3,1,2
25,Manchester City,0,0,1,0
26,Tottenham,0,2,1,0
27,Aston Villa,1,0,0,1
28,Blackburn,0,0,0,0
29,Wigan Athletic,0,0,0,0
30,Bolton,0,0,0,0
31,Sunderland,0,0,0,0
32,Wolves,0,0,0,0
33,Chelsea,1,2,2,1
34,Liverpool,6,3,0,3
35,Manchester Utd,3,1,1,1
36,Arsenal,0,0,1,0
37,Birmingham City,0,0,0,0
38,Everton,0,0,1,0
39,Stoke City,0,0,0,0
40,West Brom,0,0,0,0
41,West Ham,0,0,1,0
42,Newcastle Utd,0,0,0,0
43,Fulham,0,0,0,0
44,Blackpool,0,0,0,0
45,Bayern Munich,5,1,1,1
46,Hoffenheim,0,0,0,0
47,Borussia Mönchengladbach,0,2,0,0
48,Köln,0,0,0,0
49,Freiburg,0,0,0,0
50,Hannover 96,0,0,0,0
51,Hamburger SV,1,0,1,0
52,Mainz 05,0,0,0,0
53,Dortmund,1,0,1,0
54,Kaiserslautern,0,0,0,0
55,Schalke 04,0,1,0,0
56,Werder Bremen,0,0,1,0
57,Wolfsburg,0,0,0,0
58,Eintracht Frankfurt,0,1,0,0
59,Nürnberg,0,0,0,0
60,St. Pauli,0,0,0,0
61,Leverkusen,0,1,0,0
62,Stuttgart,0,0,0,0
63,Auxerre,0,0,0,0
64,Lens,0,0,0,0
65,Lyon,0,0,0,0
66,Marseille,1,0,0,0
67,Nice,0,0,0,0
68,Paris Saint-Germain,0,0,1,0
69,Rennes,0,0,0,0
70,Sochaux,0,0,0,0
71,Toulouse,0,0,0,0
72,Montpellier,0,0,0,0
73,Brest,0,0,0,0
74,Lorient,0,0,0,0
75,Nancy,0,0,0,0
76,Saint-Étienne,0,0,0,0
77,Valenciennes,0,0,0,0
78,Arles-Avignon,0,0,0,0
79,Bordeaux,0,0,0,0
80,Caen,0,0,0,0
81,Monaco,0,0,0,0
82,Udinese,0,0,0,0
83,Bari,0,0,0,0
84,Chievo,0,0,0,0
85,Milan,7,0,2,5
86,Parma,0,2,1,1
87,Sampdoria,0,0,1,0
88,Palermo,0,0,0,0
89,Fiorentina,0,0,1,0
90,Bologna,0,0,0,0
91,Cagliari,0,0,0,0
92,Cesena,0,0,0,0
93,Brescia,0,0,0,0
94,Catania,0,0,0,0
95,Genoa,0,0,0,0
96,Lecce,0,0,0,0
97,Lazio,0,0,1,1
98,Napoli,0,1,0,0
99,Betis,0,0,0,0
100,Rayo Vallecano,0,0,0,0
101,Granada,0,0,0,0
102,QPR,0,0,0,0
103,Swansea City,0,0,0,0
104,Norwich City,0,0,0,0
105,Augsburg,0,0,0,0
106,Hertha BSC,0,0,0,0
107,Ajaccio,0,0,0,0
108,Dijon,0,0,0,0
109,Evian,0,0,0,0
110,Siena,0,0,0,0
111,Atalanta,0,0,0,0
112,Novara,0,0,0,0
113,Celta Vigo,0,0,0,0
114,Valladolid,0,0,0,0
115,Reading,0,0,0,0
116,Southampton,0,0,0,0
117,Greuther Fürth,0,0,0,0
118,Düsseldorf,0,0,0,0
119,Troyes,0,0,0,0
120,Reims,0,0,0,0
121,Bastia,0,0,0,0
122,Pescara,0,0,0,0
123,Torino,0,0,0,0
124,Elche,0,0,0,0
125,Crystal Palace,0,0,0,0
126,Hull City,0,0,0,0
127,Cardiff City,0,0,0,0
128,Braunschweig,0,0,0,0
129,Nantes,0,0,0,0
130,Guingamp,0,0,0,0
131,Hellas Verona,0,0,0,0
132,Livorno,0,0,0,0
133,Sassuolo,0,0,0,0
134,Eibar,0,0,0,0
135,Córdoba,0,0,0,0
136,Leicester City,0,0,0,0
137,Burnley,0,0,0,0
138,Paderborn 07,0,0,0,0
139,Metz,0,0,0,0
140,Empoli,0,0,0,0
141,Las Palmas,0,0,0,0
142,Bournemouth,0,0,0,0
143,Watford,0,0,0,0
144,Darmstadt 98,0,0,0,0
145,Ingolstadt 04,0,0,0,0
146,Angers SCO,0,0,0,0
147,Gazélec Ajaccio,0,0,0,0
148,Frosinone,0,0,0,0
149,Carpi,0,0,0,0
150,Leganés,0,0,0,0
151,Alavés,0,0,0,0
152,Middlesbrough,0,0,0,0
153,RB Leipzig,0,0,0,0
154,Crotone,0,0,0,0
155,Girona,0,0,0,0
156,Brighton,0,0,0,0
157,Huddersfield,0,0,0,0
158,Amiens,0,0,0,0
159,Strasbourg,0,0,0,0
160,Benevento,0,0,0,0
161,SPAL,0,0,0,0
162,Huesca,0,0,0,0
163,Nîmes,0,0,0,0
