key_home,key_away,key_date,key_competition,key_referee,key_stadium,home_goals,away_goals,attendance
1,14,1,1,1,1,0,1,28000
2,12,1,1,2,2,1,3,19400
3,19,1,1,3,3,1,4,15200
4,15,2,1,4,,3,1,27000
5,18,2,1,5,4,1,0,32000
6,17,2,1,6,5,0,0,16000
7,20,2,1,7,,0,0,16000
8,11,2,1,,6,0,3,18900
9,13,2,1,8,,0,0,22700
10,16,3,1,9,7,4,0,49300
11,1,4,1,10,,0,2,93800
12,8,4,1,11,8,1,0,52800
13,7,4,1,6,9,1,0,72000
14,10,4,1,12,10,1,2,39600
15,3,5,1,,,4,1,10000
16,9,5,1,13,,2,0,19000
17,2,5,1,14,,3,5,24000
18,4,5,1,15,,4,0,18000
19,6,5,1,16,11,0,0,41000
20,5,6,1,17,,2,2,15400
4,20,7,1,6,,1,0,24300
9,7,7,1,4,,2,0,13000
16,14,7,1,7,,2,2,20000
5,13,7,1,14,4,1,2,30000
1,12,8,1,9,1,1,2,24000
8,17,8,1,18,6,2,0,16000
3,18,8,1,1,3,1,2,10000
10,11,8,1,8,7,1,2,54900
2,19,8,1,,2,1,2,25000
6,15,9,1,2,5,2,2,15000
7,5,10,1,19,,3,1,16000
14,9,10,1,6,10,3,0,34000
13,4,10,1,,9,3,0,68000
11,16,11,1,11,,1,0,66900
17,1,11,1,17,,0,0,24000
20,3,11,1,16,,0,1,9900
12,10,11,1,15,8,1,1,44000
15,2,12,1,13,,0,2,11000
18,6,12,1,7,,1,0,17000
19,8,12,1,4,11,1,1,37000
16,12,13,1,8,,0,2,21000
3,13,13,1,,3,0,0,18300
14,11,13,1,14,10,1,3,36000
8,15,14,1,17,6,0,1,13100
6,20,14,1,18,5,0,2,14000
4,7,14,1,9,,1,0,26800
9,5,14,1,1,,2,0,14000
21,63,8,2,20,,1,0,14000
1,19,14,1,6,1,2,0,17000
10,17,14,1,2,7,1,0,35000
2,18,15,1,6,2,2,3,23000
17,16,16,1,4,,2,2,14000
5,4,16,1,16,4,1,0,25000
12,14,16,1,19,8,2,1,38400
19,10,17,1,13,11,3,1,40000
15,1,17,1,7,,3,0,10000
18,8,17,1,3,,2,0,16000
20,2,17,1,,,1,1,12000
7,3,17,1,11,,1,1,16000
11,9,17,1,12,,1,1,79100
13,6,17,1,15,9,6,1,64000
10,15,18,1,,7,2,0,45000
11,12,18,1,6,,2,1,86900
2,13,18,1,12,2,1,4,21700
8,20,19,1,1,6,1,0,16000
6,7,19,1,3,5,0,0,13000
3,5,19,1,6,3,2,1,10000
9,4,19,1,17,,0,1,12000
14,17,19,1,9,10,2,1,30000
16,19,19,1,18,,2,0,20600
1,18,20,1,2,1,2,2,20000
17,11,21,1,3,,0,2,26000
13,8,21,1,2,9,6,1,75000
12,9,21,1,7,8,1,2,46800
15,16,22,1,14,,3,0,10000
20,1,22,1,6,,1,1,12000
7,2,22,1,4,,3,0,16000
4,3,22,1,10,,2,1,26000
19,14,22,1,,11,4,3,40000
18,10,22,1,9,,2,0,20400
5,6,23,1,11,4,3,0,23000
12,17,24,1,,8,1,1,35000
1,13,24,1,,1,1,3,28000
11,19,24,1,16,,5,0,88800
16,18,25,1,17,,1,1,19000
8,7,25,1,19,6,4,1,16000
2,5,25,1,18,2,1,2,23000
6,4,25,1,12,5,3,0,15000
10,20,25,1,6,7,1,1,35000
14,15,25,1,13,10,3,0,30000
9,3,26,1,2,,2,1,9000
5,8,27,1,7,4,1,0,23000
4,2,27,1,3,,1,0,25000
17,9,28,1,11,,3,2,24000
20,13,29,1,3,,1,1,17600
18,14,28,1,8,,4,1,20000
20,16,28,1,13,,1,1,12000
7,1,28,1,1,,3,0,16000
3,6,28,1,6,3,1,2,10000
15,11,28,1,4,,1,3,14500
13,10,28,1,14,9,2,0,80000
19,12,30,1,15,11,2,0,36400
14,20,31,1,19,10,1,0,35000
10,7,31,1,18,7,3,0,43800
11,18,31,1,,,3,1,88800
1,5,32,1,12,1,2,1,18000
8,4,32,1,9,6,0,0,15000
2,3,32,1,17,2,1,0,19000
9,6,32,1,6,,0,0,11000
17,19,32,1,2,,1,2,28000
16,13,32,1,16,,0,1,21900
12,15,32,1,,8,2,0,49500
18,12,33,1,13,,1,1,20000
20,11,33,1,2,,0,8,19800
13,14,33,1,12,9,5,1,76000
7,16,34,1,6,,1,0,16000
4,1,34,1,11,,3,0,26000
3,8,34,1,8,3,3,1,10000
11,2,29,1,18,,4,1,88800
6,2,34,1,7,5,3,0,15000
19,9,34,1,14,11,1,2,40000
5,10,34,1,4,4,2,4,40000
15,17,35,1,6,,1,1,6000
17,18,36,1,10,,0,3,30000
19,15,36,1,18,11,1,3,29600
10,4,36,1,6,7,2,3,32900
16,5,37,1,11,,1,3,19000
1,3,37,1,13,1,3,1,23000
8,6,37,1,,6,1,0,16000
9,2,37,1,,,2,0,13000
14,7,37,1,17,10,1,0,37000
12,20,37,1,16,8,2,1,35800
11,13,38,1,15,,5,0,98800
3,10,39,1,7,3,2,0,25000
7,11,39,1,6,,0,3,19600
13,12,39,1,3,9,2,0,56000
